utr,settled_on,entity_type,entity_id,order_id,method,gross_amount,fee,gst,net_amount
UTR2026080301,2026-08-03,payment,pay_SYN00000000046,ORD-000046,UPI,6056.00,0.00,0.00,6056.00
UTR2026080301,2026-08-03,payment,pay_SYN00000000047,ORD-000047,WALLET,7568.99,151.38,27.25,7390.36
UTR2026080301,2026-08-03,payment,pay_SYN00000000051,ORD-000051,UPI,4990.25,0.00,0.00,4990.25
UTR2026080301,2026-08-03,payment,pay_SYN00000000053,ORD-000053,WALLET,9687.00,193.74,34.87,9458.39
UTR2026080301,2026-08-03,payment,pay_SYN00000000054,ORD-000054,WALLET,1317.25,26.35,4.74,1286.16
UTR2026080301,2026-08-03,payment,pay_SYN00000000055,ORD-000055,UPI,8190.75,0.00,0.00,8190.75
UTR2026080301,2026-08-03,payment,pay_SYN00000000056,ORD-000056,UPI,3000.99,0.00,0.00,3000.99
UTR2026080301,2026-08-03,payment,pay_SYN00000000057,ORD-000057,UPI,2333.25,0.00,0.00,2333.25
UTR2026080301,2026-08-03,payment,pay_SYN00000000059,ORD-000059,UPI,4259.00,0.00,0.00,4259.00
UTR2026080301,2026-08-03,payment,pay_SYN00000000060,ORD-000060,UPI,3511.50,0.00,0.00,3511.50
UTR2026080301,2026-08-03,payment,pay_SYN00000000063,ORD-000063,UPI,832.25,0.00,0.00,832.25
UTR2026080301,2026-08-03,payment,pay_SYN00000000064,ORD-000064,WALLET,1040.00,20.80,3.74,1015.46
UTR2026080301,2026-08-03,payment,pay_SYN00000000066,ORD-000066,UPI,8904.00,0.00,0.00,8904.00
UTR2026080301,2026-08-03,payment,pay_SYN00000000067,ORD-000067,UPI,8294.00,0.00,0.00,8294.00
UTR2026080301,2026-08-03,payment,pay_SYN00000000068,ORD-000068,UPI,3695.99,0.00,0.00,3695.99
UTR2026080301,2026-08-03,payment,pay_SYN00000000070,ORD-000070,UPI,8301.50,0.00,0.00,8301.50
UTR2026080301,2026-08-03,payment,pay_SYN00000000071,ORD-000071,UPI,5771.75,0.00,0.00,5771.75
UTR2026080301,2026-08-03,payment,pay_SYN00000000072,ORD-000072,WALLET,2179.50,43.59,7.85,2128.06
UTR2026080301,2026-08-03,payment,pay_SYN00000000073,ORD-000073,UPI,8471.75,0.00,0.00,8471.75
UTR2026080301,2026-08-03,payment,pay_SYN00000000075,ORD-000075,UPI,9119.99,0.00,0.00,9119.99
UTR2026080301,2026-08-03,payment,pay_SYN00000000076,ORD-000076,UPI,1318.99,0.00,0.00,1318.99
UTR2026080301,2026-08-03,payment,pay_SYN00000000078,ORD-000078,UPI,7670.50,0.00,0.00,7670.50
UTR2026080301,2026-08-03,payment,pay_SYN00000000079,ORD-000079,UPI,5837.00,0.00,0.00,5837.00
UTR2026080301,2026-08-03,payment,pay_SYN00000000080,ORD-000080,UPI,8988.25,0.00,0.00,8988.25
UTR2026080301,2026-08-03,payment,pay_SYN00000000081,ORD-000081,UPI,9821.25,0.00,0.00,9821.25
UTR2026080301,2026-08-03,payment,pay_SYN00000000082,ORD-000082,UPI,5011.00,0.00,0.00,5011.00
UTR2026080301,2026-08-03,refund,rfnd_SYNPRE000003,ORD-PRE-0003,UPI,-6396.00,0.00,0.00,-6396.00
UTR2026080401,2026-08-04,payment,pay_SYN00000000048,ORD-000048,CARD,7814.00,156.28,28.13,7629.59
UTR2026080401,2026-08-04,payment,pay_SYN00000000049,ORD-000049,CARD,9263.25,185.27,33.35,9044.63
UTR2026080401,2026-08-04,payment,pay_SYN00000000052,ORD-000052,NETBANKING,3705.75,70.41,12.67,3622.67
UTR2026080401,2026-08-04,payment,pay_SYN00000000058,ORD-000058,CARD,3490.00,69.80,12.56,3407.64
UTR2026080401,2026-08-04,payment,pay_SYN00000000061,ORD-000061,CARD,5762.00,115.24,20.74,5626.02
UTR2026080401,2026-08-04,payment,pay_SYN00000000062,ORD-000062,NETBANKING,9167.25,174.18,31.35,8961.72
UTR2026080401,2026-08-04,payment,pay_SYN00000000065,ORD-000065,CARD,5050.00,101.00,18.18,4930.82
UTR2026080401,2026-08-04,payment,pay_SYN00000000069,ORD-000069,CARD,6341.00,126.82,22.83,6191.35
UTR2026080401,2026-08-04,payment,pay_SYN00000000074,ORD-000074,NETBANKING,2923.00,55.54,10.00,2857.46
UTR2026080401,2026-08-04,payment,pay_SYN00000000077,ORD-000077,CARD,7854.25,157.09,28.28,7668.88
UTR2026080401,2026-08-04,payment,pay_SYN00000000083,ORD-000083,CARD,723.00,14.46,2.60,705.94
UTR2026080401,2026-08-04,payment,pay_SYN00000000084,ORD-000084,UPI,4607.00,0.00,0.00,4607.00
UTR2026080401,2026-08-04,payment,pay_SYN00000000089,ORD-000089,UPI,4493.99,0.00,0.00,4493.99
UTR2026080401,2026-08-04,refund,rfnd_SYN0000000008,ORD-000030,UPI,-1328.99,0.00,0.00,-1328.99
UTR2026080501,2026-08-05,payment,pay_SYN00000000086,ORD-000086,CARD,2191.25,43.83,7.89,2139.53
UTR2026080501,2026-08-05,payment,pay_SYN00000000087,ORD-000087,CARD,9983.00,199.66,35.94,9747.40
UTR2026080501,2026-08-05,payment,pay_SYN00000000088,ORD-000088,NETBANKING,671.00,12.75,2.30,655.95
UTR2026080501,2026-08-05,payment,pay_SYN00000000091,ORD-000091,CARD,5915.00,118.30,21.29,5775.41
UTR2026080501,2026-08-05,payment,pay_SYN00000000093,ORD-000093,CARD,6693.00,133.86,24.09,6535.05
UTR2026080501,2026-08-05,payment,pay_SYN00000000094,ORD-000094,CARD,8120.00,162.40,29.23,7928.37
UTR2026080501,2026-08-05,payment,pay_SYN00000000097,ORD-000097,UPI,3754.25,0.00,0.00,3754.25
UTR2026080501,2026-08-05,payment,pay_SYN00000000098,ORD-000098,UPI,956.99,0.00,0.00,956.99
UTR2026080501,2026-08-05,payment,pay_SYN00000000099,ORD-000099,WALLET,5561.50,111.23,20.02,5430.25
UTR2026080501,2026-08-05,payment,pay_SYN00000000100,ORD-000100,UPI,4034.25,0.00,0.00,4034.25
UTR2026080501,2026-08-05,payment,pay_SYN00000000101,ORD-000101,WALLET,3060.00,61.20,11.02,2987.78
UTR2026080501,2026-08-05,payment,pay_SYN00000000103,ORD-000103,WALLET,8245.00,164.90,29.68,8050.42
UTR2026080501,2026-08-05,refund,rfnd_SYN0000000010,ORD-000051,UPI,-3892.40,0.00,0.00,-3892.40
UTR2026080601,2026-08-06,payment,pay_SYN00000000095,ORD-000095,CARD,3616.00,72.32,13.02,3530.66
UTR2026080601,2026-08-06,payment,pay_SYN00000000096,ORD-000096,CARD,3238.00,64.76,11.66,3161.58
UTR2026080601,2026-08-06,payment,pay_SYN00000000102,ORD-000102,NETBANKING,4954.50,94.14,16.95,4843.41
UTR2026080601,2026-08-06,payment,pay_SYN00000000104,ORD-000104,UPI,6418.99,0.00,0.00,6418.99
UTR2026080601,2026-08-06,payment,pay_SYN00000000105,ORD-000105,UPI,2357.00,0.00,0.00,2357.00
UTR2026080701,2026-08-07,payment,pay_SYN00000000106,ORD-000106,CARD,9278.00,185.56,33.40,9059.04
UTR2026080701,2026-08-07,payment,pay_SYN00000000107,ORD-000107,NETBANKING,6578.25,124.99,22.50,6430.76
UTR2026080701,2026-08-07,payment,pay_SYN00000000108,ORD-000108,CARD,2707.99,54.16,9.75,2644.08
UTR2026080701,2026-08-07,payment,pay_SYN00000000109,ORD-000109,NETBANKING,9107.99,173.05,31.15,8903.79
UTR2026080701,2026-08-07,payment,pay_SYN00000000111,ORD-000111,UPI,8960.99,0.00,0.00,8960.99
UTR2026080701,2026-08-07,payment,pay_SYN00000000112,ORD-000112,UPI,1909.00,0.00,0.00,1909.00
UTR2026080701,2026-08-07,payment,pay_SYN00000000114,ORD-000114,UPI,664.00,0.00,0.00,664.00
UTR2026080701,2026-08-07,payment,pay_SYN00000000115,ORD-000115,WALLET,7412.00,148.24,26.68,7237.08
UTR2026080701,2026-08-07,payment,pay_SYN00000000116,ORD-000116,UPI,3321.00,0.00,0.00,3321.00
UTR2026080701,2026-08-07,refund,rfnd_SYN0000000005,ORD-000057,UPI,-2333.25,0.00,0.00,-2333.25
UTR2026081001,2026-08-10,payment,pay_SYN00000000113,ORD-000113,CARD,6256.00,125.12,22.52,6108.36
UTR2026081001,2026-08-10,payment,pay_SYN00000000117,ORD-000117,UPI,5504.50,0.00,0.00,5504.50
UTR2026081001,2026-08-10,payment,pay_SYN00000000118,ORD-000118,UPI,4663.00,0.00,0.00,4663.00
UTR2026081001,2026-08-10,payment,pay_SYN00000000119,ORD-000119,UPI,2814.75,0.00,0.00,2814.75
UTR2026081001,2026-08-10,payment,pay_SYN00000000120,ORD-000120,UPI,6765.00,0.00,0.00,6765.00
UTR2026081001,2026-08-10,payment,pay_SYN00000000121,ORD-000121,UPI,791.99,0.00,0.00,791.99
UTR2026081001,2026-08-10,payment,pay_SYN00000000122,ORD-000122,UPI,3061.99,0.00,0.00,3061.99
UTR2026081001,2026-08-10,payment,pay_SYN00000000123,ORD-000123,UPI,4373.00,0.00,0.00,4373.00
UTR2026081001,2026-08-10,payment,pay_SYN00000000125,ORD-000125,UPI,6444.99,0.00,0.00,6444.99
UTR2026081001,2026-08-10,payment,pay_SYN00000000126,ORD-000126,WALLET,5573.50,111.47,20.06,5441.97
UTR2026081001,2026-08-10,payment,pay_SYN00000000127,ORD-000127,UPI,1038.50,0.00,0.00,1038.50
UTR2026081001,2026-08-10,payment,pay_SYN00000000128,ORD-000128,UPI,8461.00,0.00,0.00,8461.00
UTR2026081001,2026-08-10,payment,pay_SYN00000000129,ORD-000129,UPI,8231.00,0.00,0.00,8231.00
UTR2026081001,2026-08-10,payment,pay_SYN00000000130,ORD-000130,UPI,3127.00,0.00,0.00,3127.00
UTR2026081001,2026-08-10,payment,pay_SYN00000000134,ORD-000134,WALLET,8318.99,166.38,29.95,8122.66
UTR2026081001,2026-08-10,payment,pay_SYN00000000136,ORD-000136,UPI,2679.99,0.00,0.00,2679.99
UTR2026081001,2026-08-10,payment,pay_SYN00000000138,ORD-000138,UPI,7754.00,0.00,0.00,7754.00
UTR2026081001,2026-08-10,payment,pay_SYN00000000141,ORD-000141,UPI,9246.50,0.00,0.00,9246.50
UTR2026081001,2026-08-10,payment,pay_SYN00000000142,ORD-000142,UPI,516.00,0.00,0.00,516.00
UTR2026081001,2026-08-10,refund,rfnd_SYN0000000002,ORD-000114,UPI,-292.16,0.00,0.00,-292.16
UTR2026081001,2026-08-10,refund,rfnd_SYN0000000012,ORD-000094,CARD,-5521.60,0.00,0.00,-5521.60
UTR2026081101,2026-08-11,payment,pay_SYN00000000124,ORD-000124,CARD,4743.99,94.88,17.08,4632.03
UTR2026081101,2026-08-11,payment,pay_SYN00000000132,ORD-000132,CARD,4762.99,95.26,17.15,4650.58
UTR2026081101,2026-08-11,payment,pay_SYN00000000133,ORD-000133,NETBANKING,6083.25,115.58,20.80,5946.87
UTR2026081101,2026-08-11,payment,pay_SYN00000000137,ORD-000137,NETBANKING,563.50,10.71,1.93,550.86
UTR2026081101,2026-08-11,payment,pay_SYN00000000139,ORD-000139,CARD,273.75,5.48,0.99,267.28
UTR2026081101,2026-08-11,payment,pay_SYN00000000140,ORD-000140,NETBANKING,9874.00,187.61,33.77,9652.62
UTR2026081101,2026-08-11,payment,pay_SYN00000000143,ORD-000143,UPI,386.99,0.00,0.00,386.99
UTR2026081101,2026-08-11,payment,pay_SYN00000000145,ORD-000145,UPI,4423.75,0.00,0.00,4423.75
UTR2026081101,2026-08-11,payment,pay_SYN00000000146,ORD-000146,UPI,418.50,0.00,0.00,418.50
UTR2026081101,2026-08-11,payment,pay_SYN00000000147,ORD-000147,UPI,6936.99,0.00,0.00,6936.99
UTR2026081101,2026-08-11,payment,pay_SYN00000000149,ORD-000149,UPI,1360.00,0.00,0.00,1360.00
UTR2026081201,2026-08-12,payment,pay_SYN00000000144,ORD-000144,NETBANKING,7166.75,136.17,24.51,7006.07
UTR2026081201,2026-08-12,payment,pay_SYN00000000148,ORD-000148,NETBANKING,2907.00,55.23,9.94,2841.83
UTR2026081201,2026-08-12,payment,pay_SYN00000000150,ORD-000150,NETBANKING,6124.25,116.36,20.94,5986.95
UTR2026081201,2026-08-12,payment,pay_SYN00000000151,ORD-000151,WALLET,3013.00,60.26,10.85,2941.89
UTR2026081201,2026-08-12,payment,pay_SYN00000000155,ORD-000155,WALLET,7473.00,149.46,26.90,7296.64
UTR2026081201,2026-08-12,payment,pay_SYN00000000156,ORD-000156,WALLET,4053.00,81.06,14.59,3957.35
UTR2026081201,2026-08-12,payment,pay_SYN00000000157,ORD-000157,UPI,3428.99,0.00,0.00,3428.99
UTR2026081201,2026-08-12,payment,pay_SYN00000000158,ORD-000158,UPI,2806.75,0.00,0.00,2806.75
UTR2026081201,2026-08-12,payment,pay_SYN00000000159,ORD-000159,WALLET,9931.00,198.62,35.75,9696.63
UTR2026081201,2026-08-12,payment,pay_SYN00000000160,ORD-000160,UPI,2661.75,0.00,0.00,2661.75
UTR2026081301,2026-08-13,payment,pay_SYN00000000152,ORD-000152,CARD,9040.00,180.80,32.54,8826.66
UTR2026081301,2026-08-13,payment,pay_SYN00000000153,ORD-000153,CARD,1106.00,22.12,3.98,1079.90
UTR2026081301,2026-08-13,payment,pay_SYN00000000154,ORD-000154,CARD,303.00,6.06,1.09,295.85
UTR2026081301,2026-08-13,payment,pay_SYN00000000161,ORD-000161,WALLET,7081.00,141.62,25.49,6913.89
UTR2026081301,2026-08-13,payment,pay_SYN00000000163,ORD-000163,UPI,9555.25,0.00,0.00,9555.25
UTR2026081301,2026-08-13,payment,pay_SYN00000000164,ORD-000164,UPI,314.50,0.00,0.00,314.50
UTR2026081301,2026-08-13,payment,pay_SYN00000000165,ORD-000165,UPI,4988.50,0.00,0.00,4988.50
UTR2026081301,2026-08-13,payment,pay_SYN00000000167,ORD-000167,UPI,7597.25,0.00,0.00,7597.25
UTR2026081301,2026-08-13,payment,pay_SYN00000000169,ORD-000169,UPI,7906.00,0.00,0.00,7906.00
UTR2026081301,2026-08-13,refund,rfnd_SYN0000000003,ORD-000132,CARD,-4762.99,0.00,0.00,-4762.99
UTR2026081301,2026-08-13,refund,rfnd_SYNPRE000002,ORD-PRE-0002,WALLET,-9176.75,0.00,0.00,-9176.75
UTR2026081301,2026-08-13,refund,rfnd_SYNPRE000004,ORD-PRE-0004,CARD,-2281.00,0.00,0.00,-2281.00
UTR2026081401,2026-08-14,payment,pay_SYN00000000166,ORD-000166,CARD,5256.99,105.14,18.93,5132.92
UTR2026081401,2026-08-14,payment,pay_SYN00000000168,ORD-000168,CARD,6641.00,132.82,23.91,6484.27
UTR2026081401,2026-08-14,payment,pay_SYN00000000171,ORD-000171,UPI,5801.00,0.00,0.00,5801.00
UTR2026081401,2026-08-14,payment,pay_SYN00000000172,ORD-000172,WALLET,3905.00,78.10,14.06,3812.84
UTR2026081401,2026-08-14,payment,pay_SYN00000000173,ORD-000173,UPI,1084.00,0.00,0.00,1084.00
UTR2026081401,2026-08-14,payment,pay_SYN00000000174,ORD-000174,UPI,2245.99,0.00,0.00,2245.99
UTR2026081401,2026-08-14,payment,pay_SYN00000000175,ORD-000175,UPI,7440.99,0.00,0.00,7440.99
UTR2026081401,2026-08-14,payment,pay_SYN00000000177,ORD-000177,UPI,6317.00,0.00,0.00,6317.00
UTR2026081401,2026-08-14,payment,pay_SYN00000000178,ORD-000178,UPI,4793.00,0.00,0.00,4793.00
UTR2026081401,2026-08-14,payment,pay_SYN00000000179,ORD-000179,UPI,6546.99,0.00,0.00,6546.99
UTR2026081401,2026-08-14,payment,pay_SYN00000000180,ORD-000180,UPI,3738.00,0.00,0.00,3738.00
UTR2026081401,2026-08-14,refund,rfnd_SYN0000000001,ORD-000126,WALLET,-4180.13,0.00,0.00,-4180.13
UTR2026081701,2026-08-17,payment,pay_SYN00000000176,ORD-000176,CARD,5733.75,114.68,20.64,5598.43
UTR2026081701,2026-08-17,payment,pay_SYN00000000182,ORD-000182,UPI,6371.99,0.00,0.00,6371.99
UTR2026081701,2026-08-17,payment,pay_SYN00000000184,ORD-000184,UPI,8446.25,0.00,0.00,8446.25
UTR2026081701,2026-08-17,payment,pay_SYN00000000185,ORD-000185,UPI,9087.00,0.00,0.00,9087.00
UTR2026081701,2026-08-17,payment,pay_SYN00000000186,ORD-000186,UPI,1844.00,0.00,0.00,1844.00
UTR2026081701,2026-08-17,payment,pay_SYN00000000187,ORD-000187,UPI,6196.00,0.00,0.00,6196.00
UTR2026081701,2026-08-17,payment,pay_SYN00000000188,ORD-000188,UPI,7105.00,0.00,0.00,7105.00
UTR2026081701,2026-08-17,payment,pay_SYN00000000190,ORD-000190,UPI,9569.00,0.00,0.00,9569.00
UTR2026081701,2026-08-17,payment,pay_SYN00000000191,ORD-000191,WALLET,7258.00,145.16,26.13,7086.71
UTR2026081701,2026-08-17,payment,pay_SYN00000000193,ORD-000193,UPI,5912.50,0.00,0.00,5912.50
UTR2026081701,2026-08-17,payment,pay_SYN00000000195,ORD-000195,UPI,5081.50,0.00,0.00,5081.50
UTR2026081701,2026-08-17,payment,pay_SYN00000000196,ORD-000196,UPI,4364.25,0.00,0.00,4364.25
UTR2026081701,2026-08-17,payment,pay_SYN00000000198,ORD-000198,WALLET,2255.25,45.11,8.12,2202.02
UTR2026081701,2026-08-17,payment,pay_SYN00000000200,ORD-000200,UPI,1704.99,0.00,0.00,1704.99
UTR2026081701,2026-08-17,payment,pay_SYN00000000201,ORD-000201,UPI,8578.50,0.00,0.00,8578.50
UTR2026081701,2026-08-17,payment,pay_SYN00000000203,ORD-000203,UPI,4332.99,0.00,0.00,4332.99
UTR2026081701,2026-08-17,payment,pay_SYN00000000205,ORD-000205,UPI,5478.50,0.00,0.00,5478.50
UTR2026081701,2026-08-17,payment,pay_SYN00000000206,ORD-000206,UPI,6051.25,0.00,0.00,6051.25
UTR2026081701,2026-08-17,payment,pay_SYN00000000207,ORD-000207,UPI,2942.99,0.00,0.00,2942.99
UTR2026081701,2026-08-17,payment,pay_SYN00000000208,ORD-000208,UPI,8309.25,0.00,0.00,8309.25
UTR2026081701,2026-08-17,refund,rfnd_SYN0000000007,ORD-000144,NETBANKING,-7166.75,0.00,0.00,-7166.75
UTR2026081701,2026-08-17,refund,rfnd_SYNPRE000001,ORD-PRE-0001,NETBANKING,-6617.99,0.00,0.00,-6617.99
UTR2026081801,2026-08-18,payment,pay_SYN00000000181,ORD-000181,CARD,3310.00,66.20,11.92,3231.88
UTR2026081801,2026-08-18,payment,pay_SYN00000000183,ORD-000183,CARD,8420.99,168.42,30.32,8222.25
UTR2026081801,2026-08-18,payment,pay_SYN00000000189,ORD-000189,NETBANKING,4168.00,79.19,14.25,4074.56
UTR2026081801,2026-08-18,payment,pay_SYN00000000192,ORD-000192,NETBANKING,8233.25,156.43,28.16,8048.66
UTR2026081801,2026-08-18,payment,pay_SYN00000000194,ORD-000194,CARD,4294.99,85.90,15.46,4193.63
UTR2026081801,2026-08-18,payment,pay_SYN00000000199,ORD-000199,NETBANKING,4286.00,81.43,14.66,4189.91
UTR2026081801,2026-08-18,payment,pay_SYN00000000204,ORD-000204,CARD,7324.50,146.49,26.37,7151.64
UTR2026081801,2026-08-18,payment,pay_SYN00000000209,ORD-000209,UPI,704.99,0.00,0.00,704.99
UTR2026081801,2026-08-18,payment,pay_SYN00000000212,ORD-000212,UPI,6335.99,0.00,0.00,6335.99
UTR2026081801,2026-08-18,payment,pay_SYN00000000213,ORD-000213,UPI,1157.00,0.00,0.00,1157.00
UTR2026081801,2026-08-18,payment,pay_SYN00000000216,ORD-000216,UPI,4542.50,0.00,0.00,4542.50
UTR2026081801,2026-08-18,refund,rfnd_SYN0000000009,ORD-000177,UPI,-2653.14,0.00,0.00,-2653.14
UTR2026081901,2026-08-19,payment,pay_SYN00000000210,ORD-000210,NETBANKING,9976.99,189.56,34.12,9753.31
UTR2026081901,2026-08-19,payment,pay_SYN00000000211,ORD-000211,CARD,9356.99,187.14,33.69,9136.16
UTR2026081901,2026-08-19,payment,pay_SYN00000000215,ORD-000215,NETBANKING,2130.25,40.47,7.28,2082.50
UTR2026081901,2026-08-19,payment,pay_SYN00000000219,ORD-000219,UPI,9308.50,0.00,0.00,9308.50
UTR2026081901,2026-08-19,payment,pay_SYN00000000225,ORD-000225,UPI,2522.75,0.00,0.00,2522.75
UTR2026081901,2026-08-19,payment,pay_SYN00000000226,ORD-000226,UPI,7134.75,0.00,0.00,7134.75
UTR2026081901,2026-08-19,refund,rfnd_SYN0000000011,ORD-000200,UPI,-1176.44,0.00,0.00,-1176.44
UTR2026082001,2026-08-20,payment,pay_SYN00000000218,ORD-000218,CARD,4397.00,87.94,15.83,4293.23
UTR2026082001,2026-08-20,payment,pay_SYN00000000220,ORD-000220,NETBANKING,6377.50,121.17,21.81,6234.52
UTR2026082001,2026-08-20,payment,pay_SYN00000000222,ORD-000222,CARD,2834.75,56.70,10.21,2767.84
UTR2026082001,2026-08-20,payment,pay_SYN00000000223,ORD-000223,CARD,9443.00,188.86,33.99,9220.15
UTR2026082001,2026-08-20,payment,pay_SYN00000000224,ORD-000224,NETBANKING,2691.75,51.14,9.21,2631.40
UTR2026082001,2026-08-20,payment,pay_SYN00000000227,ORD-000227,CARD,2540.00,50.80,9.14,2480.06
UTR2026082001,2026-08-20,payment,pay_SYN00000000229,ORD-000229,CARD,1144.75,22.90,4.12,1117.73
UTR2026082001,2026-08-20,payment,pay_SYN00000000231,ORD-000231,UPI,1465.99,0.00,0.00,1465.99
UTR2026082001,2026-08-20,payment,pay_SYN00000000232,ORD-000232,WALLET,6735.50,134.71,24.25,6576.54
UTR2026082001,2026-08-20,payment,pay_SYN00000000235,ORD-000235,UPI,9003.00,0.00,0.00,9003.00
UTR2026082101,2026-08-21,payment,pay_SYN00000000230,ORD-000230,NETBANKING,4888.25,92.88,16.72,4778.65
UTR2026082101,2026-08-21,payment,pay_SYN00000000233,ORD-000233,NETBANKING,5752.25,109.29,19.67,5623.29
UTR2026082101,2026-08-21,payment,pay_SYN00000000236,ORD-000236,WALLET,9829.75,196.60,35.39,9597.76
UTR2026082101,2026-08-21,payment,pay_SYN00000000238,ORD-000238,WALLET,7389.99,147.80,26.60,7215.59
UTR2026082101,2026-08-21,payment,pay_SYN00000000240,ORD-000240,UPI,4289.00,0.00,0.00,4289.00
UTR2026082101,2026-08-21,payment,pay_SYN00000000241,ORD-000241,WALLET,4136.25,82.73,14.89,4038.63
