order_id,order_ts,amount,payment_id,method,payment_status,dispute_status,dispute_opened_at
ORD-000027,2026-07-29T16:58:15,2544.99,pay_SYN00000000027,UPI,CAPTURED,,
ORD-000028,2026-07-29T19:04:02,3434.25,pay_SYN00000000028,UPI,CAPTURED,,
ORD-000029,2026-07-29T19:11:09,1372.75,pay_SYN00000000029,UPI,CAPTURED,,
ORD-000030,2026-07-30T09:14:08,1328.99,pay_SYN00000000030,UPI,CAPTURED,,
ORD-000031,2026-07-30T12:00:49,9874.00,pay_SYN00000000031,NETBANKING,CAPTURED,,
ORD-000032,2026-07-30T12:55:26,3982.00,pay_SYN00000000032,UPI,CAPTURED,,
ORD-000033,2026-07-30T13:42:24,9587.00,pay_SYN00000000033,CARD,CAPTURED,,
ORD-000034,2026-07-30T14:27:58,3382.50,pay_SYN00000000034,UPI,CAPTURED,,
ORD-000035,2026-07-30T14:43:16,4793.50,pay_SYN00000000035,CARD,CAPTURED,,
ORD-000036,2026-07-30T17:20:52,4715.75,pay_SYN00000000036,UPI,CAPTURED,,
ORD-000037,2026-07-30T17:37:07,7987.25,pay_SYN00000000037,UPI,CAPTURED,,
ORD-000038,2026-07-30T18:02:37,219.00,pay_SYN00000000038,CARD,CAPTURED,,
ORD-000039,2026-07-30T18:16:39,5095.00,pay_SYN00000000039,UPI,CAPTURED,,
ORD-000040,2026-07-30T19:25:23,3844.99,pay_SYN00000000040,UPI,CAPTURED,,
ORD-000041,2026-07-31T08:42:06,6028.00,pay_SYN00000000041,UPI,CAPTURED,,
ORD-000042,2026-07-31T09:18:15,8416.00,pay_SYN00000000042,UPI,CAPTURED,,
ORD-000043,2026-07-31T09:25:35,5278.00,pay_SYN00000000043,WALLET,CAPTURED,,
ORD-000044,2026-07-31T10:50:37,4832.99,pay_SYN00000000044,UPI,CAPTURED,,
ORD-000045,2026-07-31T13:22:26,5332.00,pay_SYN00000000045,UPI,CAPTURED,,
ORD-000046,2026-07-31T16:09:29,6056.00,pay_SYN00000000046,UPI,CAPTURED,,
ORD-000047,2026-07-31T16:19:46,7568.99,pay_SYN00000000047,WALLET,CAPTURED,,
ORD-000048,2026-07-31T17:12:28,7814.00,pay_SYN00000000048,CARD,CAPTURED,,
ORD-000049,2026-07-31T17:15:06,9263.25,pay_SYN00000000049,CARD,CAPTURED,,
ORD-000050,2026-07-31T17:20:38,4293.00,pay_SYN00000000050,UPI,FAILED,,
ORD-000051,2026-07-31T17:30:22,4990.25,pay_SYN00000000051,UPI,CAPTURED,,
ORD-000052,2026-07-31T18:08:52,3705.75,pay_SYN00000000052,NETBANKING,CAPTURED,,
ORD-000053,2026-07-31T18:42:49,9687.00,pay_SYN00000000053,WALLET,CAPTURED,,
ORD-000054,2026-07-31T18:53:41,1317.25,pay_SYN00000000054,WALLET,CAPTURED,,
ORD-000055,2026-08-01T10:28:20,8190.75,pay_SYN00000000055,UPI,CAPTURED,,
ORD-000056,2026-08-01T12:27:06,3000.99,pay_SYN00000000056,UPI,CAPTURED,,
ORD-000057,2026-08-01T13:09:00,2333.25,pay_SYN00000000057,UPI,CAPTURED,,
ORD-000058,2026-08-01T14:32:14,3490.00,pay_SYN00000000058,CARD,CAPTURED,,
ORD-000059,2026-08-01T15:52:26,4259.00,pay_SYN00000000059,UPI,CAPTURED,,
ORD-000060,2026-08-01T18:29:13,3511.50,pay_SYN00000000060,UPI,CAPTURED,,
ORD-000061,2026-08-01T18:40:17,5762.00,pay_SYN00000000061,CARD,CAPTURED,,
ORD-000062,2026-08-01T20:28:20,9167.25,pay_SYN00000000062,NETBANKING,CAPTURED,,
ORD-000063,2026-08-01T20:36:42,832.25,pay_SYN00000000063,UPI,CAPTURED,,
ORD-000064,2026-08-01T20:38:19,1040.00,pay_SYN00000000064,WALLET,CAPTURED,,
ORD-000065,2026-08-02T08:01:23,5050.00,pay_SYN00000000065,CARD,CAPTURED,,
ORD-000066,2026-08-02T09:15:40,8904.00,pay_SYN00000000066,UPI,CAPTURED,,
ORD-000067,2026-08-02T09:50:23,8294.00,pay_SYN00000000067,UPI,CAPTURED,,
ORD-000068,2026-08-02T10:02:23,3695.99,pay_SYN00000000068,UPI,CAPTURED,,
ORD-000069,2026-08-02T10:23:04,6341.00,pay_SYN00000000069,CARD,CAPTURED,,
ORD-000070,2026-08-02T10:26:55,8301.50,pay_SYN00000000070,UPI,CAPTURED,,
ORD-000071,2026-08-02T10:28:03,5771.75,pay_SYN00000000071,UPI,CAPTURED,,
ORD-000072,2026-08-02T12:17:06,2179.50,pay_SYN00000000072,WALLET,CAPTURED,,
ORD-000073,2026-08-02T14:06:27,8471.75,pay_SYN00000000073,UPI,CAPTURED,,
ORD-000074,2026-08-02T14:17:06,2923.00,pay_SYN00000000074,NETBANKING,CAPTURED,,
ORD-000075,2026-08-02T14:50:25,9119.99,pay_SYN00000000075,UPI,CAPTURED,,
ORD-000076,2026-08-02T14:58:39,1318.99,pay_SYN00000000076,UPI,CAPTURED,,
ORD-000077,2026-08-02T15:15:59,7854.25,pay_SYN00000000077,CARD,CAPTURED,,
ORD-000078,2026-08-02T15:48:44,7670.50,pay_SYN00000000078,UPI,CAPTURED,,
ORD-000079,2026-08-02T15:59:39,5837.00,pay_SYN00000000079,UPI,CAPTURED,,
ORD-000080,2026-08-02T17:06:36,8988.25,pay_SYN00000000080,UPI,CAPTURED,,
ORD-000081,2026-08-02T17:32:36,9821.25,pay_SYN00000000081,UPI,CAPTURED,,
ORD-000082,2026-08-02T19:11:41,5011.00,pay_SYN00000000082,UPI,CAPTURED,,
ORD-000083,2026-08-02T19:18:18,723.00,pay_SYN00000000083,CARD,CAPTURED,,
ORD-000084,2026-08-03T10:59:41,4607.00,pay_SYN00000000084,UPI,CAPTURED,,
ORD-000085,2026-08-03T11:04:36,3956.00,pay_SYN00000000085,UPI,FAILED,,
ORD-000086,2026-08-03T11:07:14,2191.25,pay_SYN00000000086,CARD,CAPTURED,,
ORD-000087,2026-08-03T12:08:28,9983.00,pay_SYN00000000087,CARD,CAPTURED,,
ORD-000088,2026-08-03T12:19:48,671.00,pay_SYN00000000088,NETBANKING,CAPTURED,,
ORD-000089,2026-08-03T13:05:38,4493.99,pay_SYN00000000089,UPI,CAPTURED,,
ORD-000090,2026-08-03T14:53:39,7393.50,pay_SYN00000000090,CARD,FAILED,,
ORD-000091,2026-08-03T15:04:38,5915.00,pay_SYN00000000091,CARD,CAPTURED,,
ORD-000092,2026-08-03T15:10:55,5225.75,pay_SYN00000000092,UPI,FAILED,,
ORD-000093,2026-08-03T16:50:03,6693.00,pay_SYN00000000093,CARD,CAPTURED,,
ORD-000094,2026-08-03T19:33:02,8120.00,pay_SYN00000000094,CARD,CAPTURED,,
ORD-000095,2026-08-04T08:33:23,3616.00,pay_SYN00000000095,CARD,CAPTURED,,
ORD-000096,2026-08-04T10:45:46,3238.00,pay_SYN00000000096,CARD,CAPTURED,,
ORD-000097,2026-08-04T12:06:57,3754.25,pay_SYN00000000097,UPI,CAPTURED,,
ORD-000098,2026-08-04T13:01:09,956.99,pay_SYN00000000098,UPI,CAPTURED,,
ORD-000099,2026-08-04T14:32:48,5561.50,pay_SYN00000000099,WALLET,CAPTURED,,
ORD-000100,2026-08-04T15:58:21,4034.25,pay_SYN00000000100,UPI,CAPTURED,,
ORD-000101,2026-08-04T17:09:29,3060.00,pay_SYN00000000101,WALLET,CAPTURED,,
ORD-000102,2026-08-04T20:08:18,4954.50,pay_SYN00000000102,NETBANKING,CAPTURED,,
ORD-000103,2026-08-04T20:54:05,8245.00,pay_SYN00000000103,WALLET,CAPTURED,,
ORD-000104,2026-08-05T08:43:35,6418.99,pay_SYN00000000104,UPI,CAPTURED,,
ORD-000105,2026-08-05T12:06:15,2357.00,pay_SYN00000000105,UPI,CAPTURED,,
ORD-000106,2026-08-05T13:27:20,9278.00,pay_SYN00000000106,CARD,CAPTURED,,
ORD-000107,2026-08-05T13:32:49,6578.25,pay_SYN00000000107,NETBANKING,CAPTURED,,
ORD-000108,2026-08-05T15:13:08,2707.99,pay_SYN00000000108,CARD,CAPTURED,,
ORD-000109,2026-08-05T15:31:28,9107.99,pay_SYN00000000109,NETBANKING,CAPTURED,,
ORD-000110,2026-08-05T18:34:04,2635.25,pay_SYN00000000110,CARD,FAILED,,
ORD-000111,2026-08-06T09:47:03,8960.99,pay_SYN00000000111,UPI,CAPTURED,,
ORD-000112,2026-08-06T10:59:14,1909.00,pay_SYN00000000112,UPI,CAPTURED,,
ORD-000113,2026-08-06T15:30:48,6256.00,pay_SYN00000000113,CARD,CAPTURED,,
ORD-000114,2026-08-06T15:32:46,664.00,pay_SYN00000000114,UPI,CAPTURED,,
ORD-000115,2026-08-06T16:28:52,7412.00,pay_SYN00000000115,WALLET,CAPTURED,,
ORD-000116,2026-08-06T20:48:34,3321.00,pay_SYN00000000116,UPI,CAPTURED,,
ORD-000117,2026-08-07T09:20:06,5504.50,pay_SYN00000000117,UPI,CAPTURED,,
ORD-000118,2026-08-07T09:33:14,4663.00,pay_SYN00000000118,UPI,CAPTURED,,
ORD-000119,2026-08-07T10:24:06,2814.75,pay_SYN00000000119,UPI,CAPTURED,,
ORD-000120,2026-08-07T11:06:56,6765.00,pay_SYN00000000120,UPI,CAPTURED,,
ORD-000121,2026-08-07T14:26:40,791.99,pay_SYN00000000121,UPI,CAPTURED,,
ORD-000122,2026-08-07T20:09:14,3061.99,pay_SYN00000000122,UPI,CAPTURED,,
ORD-000123,2026-08-07T20:15:38,4373.00,pay_SYN00000000123,UPI,CAPTURED,,
ORD-000124,2026-08-07T20:37:25,4743.99,pay_SYN00000000124,CARD,CAPTURED,,
ORD-000125,2026-08-08T08:38:52,6444.99,pay_SYN00000000125,UPI,CAPTURED,,
ORD-000126,2026-08-08T12:01:49,5573.50,pay_SYN00000000126,WALLET,CAPTURED,,
ORD-000127,2026-08-08T14:17:33,1038.50,pay_SYN00000000127,UPI,CAPTURED,,
ORD-000128,2026-08-08T16:50:30,8461.00,pay_SYN00000000128,UPI,CAPTURED,,
ORD-000129,2026-08-08T18:03:09,8231.00,pay_SYN00000000129,UPI,CAPTURED,,
ORD-000130,2026-08-08T18:22:38,3127.00,pay_SYN00000000130,UPI,CAPTURED,,
ORD-000131,2026-08-08T18:30:04,6306.75,pay_SYN00000000131,CARD,FAILED,,
ORD-000132,2026-08-08T18:33:16,4762.99,pay_SYN00000000132,CARD,CAPTURED,,
ORD-000133,2026-08-08T19:05:21,6083.25,pay_SYN00000000133,NETBANKING,CAPTURED,,
ORD-000134,2026-08-08T20:48:57,8318.99,pay_SYN00000000134,WALLET,CAPTURED,,
ORD-000135,2026-08-09T09:11:36,6792.50,pay_SYN00000000135,CARD,FAILED,,
ORD-000136,2026-08-09T11:33:00,2679.99,pay_SYN00000000136,UPI,CAPTURED,,
ORD-000137,2026-08-09T11:38:13,563.50,pay_SYN00000000137,NETBANKING,CAPTURED,,
ORD-000138,2026-08-09T11:48:26,7754.00,pay_SYN00000000138,UPI,CAPTURED,,
ORD-000139,2026-08-09T13:09:45,273.75,pay_SYN00000000139,CARD,CAPTURED,,
ORD-000140,2026-08-09T17:32:24,9874.00,pay_SYN00000000140,NETBANKING,CAPTURED,,
ORD-000141,2026-08-09T17:39:06,9246.50,pay_SYN00000000141,UPI,CAPTURED,,
ORD-000142,2026-08-09T18:37:44,516.00,pay_SYN00000000142,UPI,CAPTURED,,
ORD-000143,2026-08-10T09:59:13,386.99,pay_SYN00000000143,UPI,CAPTURED,,
ORD-000144,2026-08-10T10:10:17,7166.75,pay_SYN00000000144,NETBANKING,CAPTURED,,
ORD-000145,2026-08-10T10:51:30,4423.75,pay_SYN00000000145,UPI,CAPTURED,,
ORD-000146,2026-08-10T12:27:26,418.50,pay_SYN00000000146,UPI,CAPTURED,,
ORD-000147,2026-08-10T17:03:23,6936.99,pay_SYN00000000147,UPI,CAPTURED,,
ORD-000148,2026-08-10T17:26:16,2907.00,pay_SYN00000000148,NETBANKING,CAPTURED,,
ORD-000149,2026-08-10T19:06:43,1360.00,pay_SYN00000000149,UPI,CAPTURED,,
ORD-000150,2026-08-10T20:01:49,6124.25,pay_SYN00000000150,NETBANKING,CAPTURED,,
ORD-000151,2026-08-11T10:50:06,3013.00,pay_SYN00000000151,WALLET,CAPTURED,,
ORD-000152,2026-08-11T12:33:26,9040.00,pay_SYN00000000152,CARD,CAPTURED,,
ORD-000153,2026-08-11T12:49:07,1106.00,pay_SYN00000000153,CARD,CAPTURED,,
ORD-000154,2026-08-11T12:51:57,303.00,pay_SYN00000000154,CARD,CAPTURED,,
ORD-000155,2026-08-11T13:12:25,7473.00,pay_SYN00000000155,WALLET,CAPTURED,,
ORD-000156,2026-08-11T13:35:09,4053.00,pay_SYN00000000156,WALLET,CAPTURED,,
ORD-000157,2026-08-11T15:13:50,3428.99,pay_SYN00000000157,UPI,CAPTURED,,
ORD-000158,2026-08-11T17:35:00,2806.75,pay_SYN00000000158,UPI,CAPTURED,,
ORD-000159,2026-08-11T18:07:57,9931.00,pay_SYN00000000159,WALLET,CAPTURED,,
ORD-000160,2026-08-11T18:21:36,2661.75,pay_SYN00000000160,UPI,CAPTURED,,
ORD-000161,2026-08-12T08:37:37,7081.00,pay_SYN00000000161,WALLET,CAPTURED,,
ORD-000162,2026-08-12T09:28:01,6245.75,pay_SYN00000000162,UPI,FAILED,,
ORD-000163,2026-08-12T09:56:38,9555.25,pay_SYN00000000163,UPI,CAPTURED,,
ORD-000164,2026-08-12T10:25:00,314.50,pay_SYN00000000164,UPI,CAPTURED,,
ORD-000165,2026-08-12T11:08:49,4988.50,pay_SYN00000000165,UPI,CAPTURED,,
ORD-000166,2026-08-12T12:07:50,5256.99,pay_SYN00000000166,CARD,CAPTURED,,
ORD-000167,2026-08-12T12:11:14,7597.25,pay_SYN00000000167,UPI,CAPTURED,,
ORD-000168,2026-08-12T14:25:43,6641.00,pay_SYN00000000168,CARD,CAPTURED,,
ORD-000169,2026-08-12T19:17:05,7906.00,pay_SYN00000000169,UPI,CAPTURED,,
ORD-000170,2026-08-12T19:29:09,2728.00,pay_SYN00000000170,UPI,FAILED,,
ORD-000171,2026-08-13T09:08:06,5801.00,pay_SYN00000000171,UPI,CAPTURED,,
ORD-000172,2026-08-13T10:36:25,3905.00,pay_SYN00000000172,WALLET,CAPTURED,,
ORD-000173,2026-08-13T10:53:15,1084.00,pay_SYN00000000173,UPI,CAPTURED,,
ORD-000174,2026-08-13T11:35:38,2245.99,pay_SYN00000000174,UPI,CAPTURED,,
ORD-000175,2026-08-13T15:08:45,7440.99,pay_SYN00000000175,UPI,CAPTURED,,
ORD-000176,2026-08-13T15:14:16,5733.75,pay_SYN00000000176,CARD,CAPTURED,,
ORD-000177,2026-08-13T16:44:14,6317.00,pay_SYN00000000177,UPI,CAPTURED,,
ORD-000178,2026-08-13T16:51:12,4793.00,pay_SYN00000000178,UPI,CAPTURED,,
ORD-000179,2026-08-13T19:12:57,6546.99,pay_SYN00000000179,UPI,CAPTURED,,
ORD-000180,2026-08-13T20:17:03,3738.00,pay_SYN00000000180,UPI,CAPTURED,,
ORD-000181,2026-08-14T09:27:14,3310.00,pay_SYN00000000181,CARD,CAPTURED,,
ORD-000182,2026-08-14T10:05:11,6371.99,pay_SYN00000000182,UPI,CAPTURED,,
ORD-000183,2026-08-14T10:08:09,8420.99,pay_SYN00000000183,CARD,CAPTURED,,
ORD-000184,2026-08-14T10:21:47,8446.25,pay_SYN00000000184,UPI,CAPTURED,,
ORD-000185,2026-08-14T10:50:03,9087.00,pay_SYN00000000185,UPI,CAPTURED,,
ORD-000186,2026-08-14T11:54:05,1844.00,pay_SYN00000000186,UPI,CAPTURED,,
ORD-000187,2026-08-14T12:58:21,6196.00,pay_SYN00000000187,UPI,CAPTURED,,
ORD-000188,2026-08-14T14:03:55,7105.00,pay_SYN00000000188,UPI,CAPTURED,,
ORD-000189,2026-08-14T14:30:40,4168.00,pay_SYN00000000189,NETBANKING,CAPTURED,,
ORD-000190,2026-08-14T17:05:20,9569.00,pay_SYN00000000190,UPI,CAPTURED,,
ORD-000191,2026-08-15T12:55:56,7258.00,pay_SYN00000000191,WALLET,CAPTURED,,
ORD-000192,2026-08-15T17:20:11,8233.25,pay_SYN00000000192,NETBANKING,CAPTURED,,
ORD-000193,2026-08-15T17:48:38,5912.50,pay_SYN00000000193,UPI,CAPTURED,,
ORD-000194,2026-08-15T17:51:18,4294.99,pay_SYN00000000194,CARD,CAPTURED,,
ORD-000195,2026-08-15T20:58:01,5081.50,pay_SYN00000000195,UPI,CAPTURED,,
ORD-000196,2026-08-16T08:38:43,4364.25,pay_SYN00000000196,UPI,CAPTURED,,
ORD-000197,2026-08-16T10:51:10,9950.50,pay_SYN00000000197,WALLET,FAILED,,
ORD-000198,2026-08-16T13:03:39,2255.25,pay_SYN00000000198,WALLET,CAPTURED,,
ORD-000199,2026-08-16T14:01:25,4286.00,pay_SYN00000000199,NETBANKING,CAPTURED,,
ORD-000200,2026-08-16T14:13:45,1704.99,pay_SYN00000000200,UPI,CAPTURED,,
ORD-000201,2026-08-16T14:28:31,8578.50,pay_SYN00000000201,UPI,CAPTURED,,
ORD-000202,2026-08-16T14:48:05,6773.25,pay_SYN00000000202,UPI,FAILED,,
ORD-000203,2026-08-16T15:13:22,4332.99,pay_SYN00000000203,UPI,CAPTURED,,
ORD-000204,2026-08-16T16:09:19,7324.50,pay_SYN00000000204,CARD,CAPTURED,,
ORD-000205,2026-08-16T16:55:50,5478.50,pay_SYN00000000205,UPI,CAPTURED,,
ORD-000206,2026-08-16T19:10:36,6051.25,pay_SYN00000000206,UPI,CAPTURED,,
ORD-000207,2026-08-16T19:39:10,2942.99,pay_SYN00000000207,UPI,CAPTURED,,
ORD-000208,2026-08-16T20:31:21,8309.25,pay_SYN00000000208,UPI,CAPTURED,,
ORD-000209,2026-08-17T11:08:22,704.99,pay_SYN00000000209,UPI,CAPTURED,,
ORD-000210,2026-08-17T13:00:29,9976.99,pay_SYN00000000210,NETBANKING,CAPTURED,,
ORD-000211,2026-08-17T13:16:14,9356.99,pay_SYN00000000211,CARD,CAPTURED,,
ORD-000212,2026-08-17T14:25:35,6335.99,pay_SYN00000000212,UPI,CAPTURED,,
ORD-000213,2026-08-17T15:13:35,1157.00,pay_SYN00000000213,UPI,CAPTURED,,
ORD-000214,2026-08-17T16:13:49,6068.75,pay_SYN00000000214,NETBANKING,CAPTURED,OPEN,2026-08-18T16:13:49
ORD-000215,2026-08-17T18:03:22,2130.25,pay_SYN00000000215,NETBANKING,CAPTURED,,
ORD-000216,2026-08-17T18:05:54,4542.50,pay_SYN00000000216,UPI,CAPTURED,,
ORD-000217,2026-08-17T20:45:31,5559.75,pay_SYN00000000217,WALLET,FAILED,,
ORD-000218,2026-08-18T10:19:02,4397.00,pay_SYN00000000218,CARD,CAPTURED,,
ORD-000219,2026-08-18T10:31:26,9308.50,pay_SYN00000000219,UPI,CAPTURED,,
ORD-000220,2026-08-18T12:52:29,6377.50,pay_SYN00000000220,NETBANKING,CAPTURED,,
ORD-000221,2026-08-18T14:13:13,6745.99,pay_SYN00000000221,CARD,FAILED,,
ORD-000222,2026-08-18T14:41:10,2834.75,pay_SYN00000000222,CARD,CAPTURED,,
ORD-000223,2026-08-18T15:03:38,9443.00,pay_SYN00000000223,CARD,CAPTURED,,
ORD-000224,2026-08-18T15:32:20,2691.75,pay_SYN00000000224,NETBANKING,CAPTURED,,
ORD-000225,2026-08-18T15:41:15,2522.75,pay_SYN00000000225,UPI,CAPTURED,,
ORD-000226,2026-08-18T15:46:05,7134.75,pay_SYN00000000226,UPI,CAPTURED,,
ORD-000227,2026-08-18T18:13:54,2540.00,pay_SYN00000000227,CARD,CAPTURED,,
ORD-000228,2026-08-18T19:14:38,622.99,pay_SYN00000000228,WALLET,CAPTURED,WON,2026-08-19T19:14:38
ORD-000229,2026-08-18T19:24:49,1144.75,pay_SYN00000000229,CARD,CAPTURED,,
ORD-000230,2026-08-19T11:37:42,4888.25,pay_SYN00000000230,NETBANKING,CAPTURED,,
ORD-000231,2026-08-19T11:57:47,1465.99,pay_SYN00000000231,UPI,CAPTURED,,
ORD-000232,2026-08-19T13:18:52,6735.50,pay_SYN00000000232,WALLET,CAPTURED,,
ORD-000233,2026-08-19T19:06:06,5752.25,pay_SYN00000000233,NETBANKING,CAPTURED,,
ORD-000234,2026-08-19T20:16:13,4104.75,pay_SYN00000000234,UPI,CAPTURED,WON,2026-08-20T20:16:13
ORD-000235,2026-08-19T20:58:51,9003.00,pay_SYN00000000235,UPI,CAPTURED,,
ORD-000236,2026-08-20T09:20:25,9829.75,pay_SYN00000000236,WALLET,CAPTURED,,
ORD-000237,2026-08-20T10:58:00,9156.00,pay_SYN00000000237,CARD,CAPTURED,,
ORD-000238,2026-08-20T11:17:31,7389.99,pay_SYN00000000238,WALLET,CAPTURED,,
ORD-000239,2026-08-20T12:10:16,893.99,pay_SYN00000000239,CARD,CAPTURED,,
ORD-000240,2026-08-20T12:18:09,4289.00,pay_SYN00000000240,UPI,CAPTURED,,
ORD-000241,2026-08-20T12:39:22,4136.25,pay_SYN00000000241,WALLET,CAPTURED,,
ORD-000242,2026-08-20T13:54:48,5816.99,pay_SYN00000000242,UPI,CAPTURED,WON,2026-08-21T13:54:48
ORD-000243,2026-08-20T15:21:29,5304.25,pay_SYN00000000243,CARD,CAPTURED,,
ORD-000244,2026-08-20T18:00:44,9461.00,pay_SYN00000000244,NETBANKING,CAPTURED,,
ORD-000245,2026-08-20T20:21:48,5282.50,pay_SYN00000000245,UPI,CAPTURED,,
ORD-000246,2026-08-21T09:31:16,8680.00,pay_SYN00000000246,UPI,CAPTURED,LOST,2026-08-22T09:31:16
ORD-000247,2026-08-21T11:35:54,5512.00,pay_SYN00000000247,CARD,CAPTURED,,
ORD-000248,2026-08-21T11:52:29,676.75,pay_SYN00000000248,UPI,CAPTURED,,
ORD-000249,2026-08-21T14:31:52,3193.99,pay_SYN00000000249,UPI,CAPTURED,,
ORD-000250,2026-08-21T15:47:53,4492.75,pay_SYN00000000250,UPI,CAPTURED,,
ORD-000251,2026-08-21T18:12:30,6310.00,pay_SYN00000000251,CARD,CAPTURED,,
ORD-000252,2026-08-21T18:19:57,5023.25,pay_SYN00000000252,UPI,CAPTURED,,
ORD-000253,2026-08-21T18:50:40,2279.50,pay_SYN00000000253,UPI,CAPTURED,,
ORD-000254,2026-08-21T19:58:07,4365.50,pay_SYN00000000254,UPI,CAPTURED,,
ORD-000255,2026-08-21T20:42:47,5576.99,pay_SYN00000000255,UPI,CAPTURED,,
ORD-000256,2026-08-21T20:49:04,6997.75,pay_SYN00000000256,UPI,CAPTURED,,
ORD-000257,2026-08-22T08:04:35,4490.25,pay_SYN00000000257,WALLET,CAPTURED,,
ORD-000258,2026-08-22T09:14:42,2223.25,pay_SYN00000000258,UPI,CAPTURED,,
ORD-000259,2026-08-22T09:22:43,1279.00,pay_SYN00000000259,NETBANKING,CAPTURED,,
ORD-000260,2026-08-22T09:42:04,2277.00,pay_SYN00000000260,CARD,CAPTURED,,
ORD-000261,2026-08-22T10:15:35,4872.00,pay_SYN00000000261,WALLET,CAPTURED,,
ORD-000262,2026-08-22T10:24:00,2288.00,pay_SYN00000000262,UPI,CAPTURED,,
ORD-000263,2026-08-22T10:29:42,2174.00,pay_SYN00000000263,UPI,CAPTURED,,
ORD-000264,2026-08-22T11:37:14,1965.75,pay_SYN00000000264,CARD,CAPTURED,,
ORD-000265,2026-08-22T12:44:52,7908.00,pay_SYN00000000265,UPI,CAPTURED,,
ORD-000266,2026-08-22T13:11:40,5797.00,pay_SYN00000000266,CARD,CAPTURED,,
ORD-000267,2026-08-22T16:08:45,6681.00,pay_SYN00000000267,UPI,CAPTURED,,
ORD-000268,2026-08-22T16:34:18,7658.25,pay_SYN00000000268,UPI,CAPTURED,,
ORD-000269,2026-08-22T18:39:06,7208.25,pay_SYN00000000269,NETBANKING,CAPTURED,,
ORD-000270,2026-08-23T12:36:30,8573.00,pay_SYN00000000270,UPI,CAPTURED,,
ORD-000271,2026-08-23T13:58:02,2144.50,pay_SYN00000000271,UPI,CAPTURED,,
ORD-000272,2026-08-23T14:18:16,3873.75,pay_SYN00000000272,WALLET,CAPTURED,,
ORD-000273,2026-08-23T14:43:42,8447.99,pay_SYN00000000273,UPI,CAPTURED,,
ORD-000274,2026-08-23T15:08:10,9380.00,pay_SYN00000000274,CARD,CAPTURED,LOST,2026-08-24T15:08:10
ORD-000275,2026-08-23T15:10:40,1684.25,pay_SYN00000000275,CARD,CAPTURED,,
ORD-000276,2026-08-23T15:21:32,7865.25,pay_SYN00000000276,WALLET,CAPTURED,,
ORD-000277,2026-08-23T17:41:15,3156.25,pay_SYN00000000277,UPI,CAPTURED,,
ORD-000278,2026-08-23T20:05:52,7444.00,pay_SYN00000000278,UPI,CAPTURED,,
ORD-000279,2026-08-23T20:42:32,3852.50,pay_SYN00000000279,UPI,CAPTURED,,
ORD-000280,2026-08-24T09:09:24,1952.00,pay_SYN00000000280,UPI,CAPTURED,,
